GEO_ID,Total Population,White Population,Black Population,American Indian Population,Asian Population,Native Hawaiian and Other Pacific Islander Population,Hispanic or Latino Population,Some other race,Year
371190058271,2550,674,1078,0,81,0,552,165,2020
371190058281,2372,2101,168,0,35,0,68,0,2020
371190058282,472,427,0,0,13,0,0,32,2020
371190058283,880,690,92,0,8,0,70,20,2020
371190058291,700,247,369,0,36,0,18,30,2020
371190058292,1291,274,242,0,19,0,722,34,2020
371190058301,1557,844,537,14,0,0,155,7,2020
371190058302,2157,1534,149,0,20,0,384,70,2020
371190058321,3001,2345,131,0,225,0,201,99,2020
371190058331,960,853,0,0,42,0,34,31,2020
371190058332,3309,2770,142,0,126,0,83,188,2020
371190058333,1709,1237,396,0,3,0,73,0,2020
371190058341,3323,2272,506,0,24,0,247,274,2020
371190058342,1478,1246,153,0,29,0,26,24,2020
371190058351,2965,2545,14,58,170,0,148,30,2020
371190058361,2202,1371,198,0,108,0,446,79,2020
371190058362,950,653,134,0,58,0,101,4,2020
371190058391,1042,400,106,0,202,0,175,159,2020
371190058392,1458,1363,12,0,19,0,15,49,2020
371190058401,2159,1581,351,0,32,0,147,48,2020
371190058431,1238,677,194,0,234,0,70,63,2020
371190058432,1881,794,310,0,288,0,432,57,2020
371190058451,1064,768,9,0,230,0,35,22,2020
371190058452,3457,978,304,0,1232,0,222,721,2020
371190058453,1035,639,63,0,253,0,41,39,2020
371190058461,1569,1303,56,0,170,0,34,6,2020
371190058462,2109,1835,55,0,77,0,107,35,2020
371190058471,2063,1605,2,0,370,0,60,26,2020
371190058472,2348,1838,34,0,217,0,23,236,2020
371190058473,895,301,184,0,371,0,16,23,2020
371190058481,2271,1564,212,0,292,0,184,19,2020
371190058482,1988,1786,9,0,98,0,65,30,2020
371190058483,884,647,19,0,24,0,146,48,2020
371190058491,419,394,0,0,0,0,25,0,2020
371190058492,2623,1761,140,0,503,0,142,77,2020
371190058501,1756,1413,30,0,48,0,171,94,2020
371190058511,2071,1106,567,0,56,0,337,5,2020
371190058512,2670,1424,529,0,298,0,101,318,2020
371190058521,2522,2033,169,0,23,0,62,235,2020
371190058531,2076,955,261,0,91,0,729,40,2020
371190058532,296,200,44,30,0,0,22,0,2020
371190058541,2653,853,154,0,873,0,178,595,2020
371190058551,1818,1098,59,0,386,0,251,24,2020
371190058552,1285,958,300,0,0,0,27,0,2020
371190058553,1996,1456,252,0,227,0,42,19,2020
371190058561,2422,1253,159,89,853,0,0,68,2020
371190058571,1971,845,452,0,500,0,110,64,2020
371190058581,1306,380,153,0,235,0,469,69,2020
371190058582,2380,1212,427,0,624,0,65,52,2020
371190058591,2701,1656,244,0,693,0,68,40,2020
371190058601,3004,2085,119,10,561,0,151,78,2020
371190058602,1399,1162,16,0,88,0,133,0,2020
371190058611,1712,1191,108,0,349,0,64,0,2020
371190058612,1154,994,0,0,0,0,160,0,2020
371190058621,3158,2580,66,0,257,0,103,152,2020
371190058631,2205,1777,63,0,208,0,157,0,2020
371190058632,2066,1148,504,0,334,0,34,46,2020
371190058641,1483,1059,24,0,189,0,211,0,2020
371190058642,3276,1793,145,0,1099,0,23,216,2020
371190058651,2289,1606,231,0,199,0,205,48,2020
371190058661,2044,1007,504,0,0,0,533,0,2020
371190058662,1939,551,869,0,0,0,369,150,2020
371190058663,428,172,53,0,170,0,0,33,2020
371190058671,536,108,76,0,207,0,65,80,2020
371190058672,2384,971,997,0,205,0,205,6,2020
371190058681,2431,1751,260,19,51,0,131,219,2020
371190059081,1680,1270,249,0,86,0,16,59,2020
371190059101,2615,610,1246,0,220,0,401,138,2020
371190059102,3380,784,1014,0,79,44,625,834,2020
371190059131,1560,152,484,0,79,0,845,0,2020
371190059132,2529,701,556,0,947,0,283,42,2020
371190059133,1766,873,341,0,175,0,372,5,2020
371190059134,1135,223,387,0,44,0,446,35,2020
371190059151,365,83,238,0,9,0,28,7,2020
371190059152,2345,398,1439,0,55,0,312,141,2020
371190059161,1304,225,463,0,180,0,318,118,2020
371190059162,1370,16,961,0,0,0,364,29,2020
371190059181,1318,558,176,17,0,0,505,62,2020
371190059182,959,329,456,39,10,0,114,11,2020
371190059183,2521,778,545,0,176,0,1022,0,2020
371190059191,2032,1155,474,0,91,0,302,10,2020
371190059192,864,221,0,0,48,0,576,19,2020
371190059201,1495,370,253,0,7,0,827,38,2020
371190059202,363,237,0,0,0,0,55,71,2020
371190059211,2773,1021,1267,0,241,0,152,92,2020
371190059221,2380,926,735,0,261,0,413,45,2020
371190059222,1855,632,935,0,27,0,129,132,2020
371190059231,2398,575,1245,0,80,0,311,187,2020
371190059232,2573,472,1195,0,657,0,249,0,2020
371190059241,4082,2065,1061,0,58,0,898,0,2020
371190059242,2113,1082,529,0,264,0,238,0,2020
371190059251,3213,1648,1097,0,36,0,333,99,2020
371190059261,3428,2195,891,0,154,0,150,38,2020
371190059262,1125,860,40,0,172,0,16,37,2020
371190059271,6364,1145,3541,0,253,0,1311,114,2020
371190059272,1339,148,997,0,98,0,77,19,2020
371190059281,1725,991,458,0,0,0,276,0,2020
